uid	pf_name
478	Integrin_beta
478	Pfam-B_1876
478	Pfam-B_2615
478	Pfam-B_639
478	Pfam-B_7535
478	Pfam-B_777
478	Pfam-B_794
478	Pfam-B_80
629	ICAM_N
629	ig
629	Pfam-B_89335
1025	CPSase_L_chain
1025	CPSase_L_D2
1025	CPSase_L_D3
1025	MGS
1025	Pfam-B_61
1026	CPSase_sm_chain
1026	GATase
508	Pfam-B_2020
508	SBP_bac_1
539	BPD_transp_1
250	Bcl-2
250	BH4
1016	CARD
1016	NB-ARC
244	CARD
244	Peptidase_C14
244	Pfam-B_69956
665	zf-C2H2
18	Pfam-B_11949
18	Pfam-B_1945
18	Pfam-B_19641
18	Pkinase
5368	DEAD
5368	Helicase_C
5368	Pfam-B_2055
6505	Pfam-B_105799
6505	Pfam-B_98808
6505	RRM_1
161	Pkinase
24215	DNA_ligase_A_C
24215	DNA_ligase_A_M
24215	DNA_ligase_A_N
24215	Pfam-B_14
24215	Pfam-B_24731
24215	Pfam-B_39407
24231	CDKN3
129	GST_C
129	GST_N
19	Pfam-B_19572
19	Pfam-B_22848
19	Pfam-B_26398
19	Pfam-B_43418
19	TGFb_propeptide
19	TGF_beta
169	HMG_box
169	Pfam-B_72583
169	SSrecog
953	Ets
953	Pfam-B_6008
1078	Pfam-B_11335
1078	Pfam-B_18820
1078	TBP
285	Death
285	Pfam-B_46664
285	Pfam-B_71937
286	Death
286	DED
6223	MATH
6223	Pfam-B_31508
6223	Pfam-B_35966
6223	Pfam-B_67184
6223	zf-C3HC4
6223	zf-TRAF
407	Death
407	TNFR_c6
27606	Pfam-B_26008
27606	Pfam-B_29004
27606	Pfam-B_42242
27606	Pfam-B_53141
27606	Pfam-B_89759
468	MATH
468	Pfam-B_31508
468	Pfam-B_35966
468	Pfam-B_67184
468	zf-C3HC4
468	zf-TRAF
260	MATH
260	Pfam-B_31508
260	Pfam-B_35966
260	Pfam-B_57136
260	zf-TRAF
27629	DED
27629	Peptidase_C14
27629	Pfam-B_68482
406	Death
406	Pfam-B_11107
406	Pfam-B_14830
406	Pfam-B_30844
406	TNFR_c6
5714	I-set
5714	ig
5714	LRR
5714	Pfam-B_1803
5714	Pfam-B_27367
5714	Pfam-B_3321
5714	Pfam-B_4650
5714	Pfam-B_57478
5714	Pfam-B_59379
5714	Pfam-B_657
5714	Pfam-B_7649
5714	Pkinase
346	NGF
346	Pfam-B_17300
5723	I-set
5723	ig
5723	LRR
5723	LRRNT
5723	Pfam-B_11584
5723	Pfam-B_11629
5723	Pfam-B_3321
5723	Pfam-B_4650
5723	Pfam-B_657
5723	Pfam-B_7649
5723	Pkinase
144	C2
144	Pfam-B_38206
144	PH
144	RasGAP
144	SH2
144	SH3_1
117	Pfam-B_27521
117	Pfam-B_57032
117	Pfam-B_57034
117	Pfam-B_62487
117	Pfam-B_68748
117	RA
117	SH2
117	VPS9
398	Pfam-B_5898
398	PX
398	Sorting_nexin
405	Furin-like
405	Pfam-B_14640
405	Pfam-B_24311
405	Pfam-B_2529
405	Pfam-B_278
405	Pfam-B_3205
405	Pfam-B_6081
405	Pfam-B_7190
405	Pkinase
405	Recep_L_domain
405	YLP
184	SH2
184	SH3_1
133	Pfam-B_1414
133	Pfam-B_15384
133	Pfam-B_25983
133	Pfam-B_90373
133	Pkinase
133	SH2
926	Cbl_N2
926	Cbl_N3
926	Pfam-B_1335
926	zf-C3HC4
1014	Furin-like
1014	Pfam-B_2529
1014	Pfam-B_278
1014	Pfam-B_3205
1014	Pfam-B_6081
1014	Pfam-B_65148
1014	Pfam-B_65151
1014	Pfam-B_70137
1014	Pfam-B_908
1014	Pfam-B_95092
1014	Pfam-B_98453
1014	Pkinase
1014	Recep_L_domain
175	CARD
175	Peptidase_C14
175	Pfam-B_34501
175	Pfam-B_41304
474	IL1
474	IL1_propep
93	I-set
93	ig
93	Pfam-B_11018
93	Pfam-B_11990
93	Pfam-B_28980
93	Pfam-B_3455
93	Pfam-B_44770
93	TIR
47	IFNGR1
483	IFN-gamma
302	Pfam-B_44560
302	Pfam-B_7089
736	Pfam-B_11878
736	PH
736	Pkinase
736	Pkinase_C
229	7tm_1
229	Pfam-B_7348
403	Gastrin
253	Pfam-B_27952
253	Pfam-B_27953
253	Pfam-B_8766
253	Pfam-B_8767
253	Pkinase
253	SH2
295	Pfam-B_39019
295	Pfam-B_5125
295	Pkinase
295	Pkinase_C
1056	Pfam-B_44794
1056	Pkinase
1056	SH2
1056	SH3_1
100	C2
100	Pfam-B_11112
100	Pfam-B_34975
100	Pfam-B_44417
100	Pfam-B_44419
100	Pfam-B_5217
100	Pfam-B_68720
100	PH
100	PI-PLC-X
100	PI-PLC-Y
100	SH2
100	SH3_1
376	GTP_EFTU
376	GTP_EFTU_D2
376	GTP_EFTU_D3
376	Pfam-B_11657
376	Pfam-B_18156
376	Pfam-B_7695
376	Pfam-B_8037
2252	AAA
2252	Clp_N
2252	Pfam-B_1
2252	Pfam-B_320
2252	Pfam-B_378
2252	Pfam-B_53
2252	Pfam-B_65
2252	Pfam-B_672
2252	Pfam-B_8316
2252	Pfam-B_90
2373	Pfam-B_110
2373	Pfam-B_113
2373	Pfam-B_185
2373	Pfam-B_20047
2373	Pfam-B_23075
2373	Pfam-B_27496
2373	Pfam-B_33995
2373	Pfam-B_6875
2373	Pfam-B_7293
2373	Pfam-B_7701
2373	Pfam-B_9106
2373	ResIII
6647	Pfam-B_104780
6647	Pfam-B_74781
6647	RRM_1
5385	Ribosomal_L13
3980	Pfam-B_57220
3980	Pfam-B_65888
3980	Pfam-B_95976
3980	RRM_1
2310	eIF-5_eIF-2B
1740	Pfam-B_5898
2976	Pfam-B_105289
2976	Pfam-B_66467
2976	RRM_1
26	fn2
26	Hemopexin
26	Peptidase_M10
26	Peptidase_M10_N
190	Laminin_B
190	Laminin_EGF
190	Pfam-B_24255
190	Pfam-B_461
190	Pfam-B_59751
190	Pfam-B_72690
190	Pfam-B_8112
190	Pfam-B_88412
190	Pfam-B_9812
800	eRF1_1
800	eRF1_2
800	eRF1_3
800	Pfam-B_103933
2722	Pfam-B_14
2722	Pfam-B_1621
2722	Pfam-B_2357
2722	Pfam-B_998
2722	WD40
6563	Pfam-B_12338
6563	Pfam-B_17076
6563	Pfam-B_17336
6563	Pfam-B_17337
6563	Pfam-B_28629
6563	Pfam-B_9138
2356	HEAT_PBS
2356	IBN_N
2356	Pfam-B_100285
2356	Pfam-B_11276
2356	Pfam-B_14197
2356	Pfam-B_14222
2356	Pfam-B_14232
2356	Pfam-B_14393
2356	Pfam-B_1624
2356	Pfam-B_2523
2356	Pfam-B_3650
2356	Pfam-B_4018
2356	Pfam-B_5129
2356	Pfam-B_69935
2356	Pfam-B_75201
799	FAT
799	FATC
799	Pfam-B_11054
799	Pfam-B_12415
799	Pfam-B_1412
799	Pfam-B_18416
799	Pfam-B_79834
799	PI3_PI4_kinase
6724	FTHFS
6724	THF_DHG_CYH
6724	THF_DHG_CYH_C
4663	CNH
4663	DEP
4663	Pfam-B_106917
4663	Pfam-B_21414
4663	Pfam-B_79282
4663	RhoGEF
135	Pfam-B_106973
135	Pfam-B_52755
135	RNA_pol_Rpa2_4
135	RNA_pol_Rpb2_1
135	RNA_pol_Rpb2_2
135	RNA_pol_Rpb2_3
135	RNA_pol_Rpb2_5
135	RNA_pol_Rpb2_6
135	RNA_pol_Rpb2_7
4452	Pfam-B_24596
5950	Pfam-B_10149
5950	Pfam-B_7661
5950	Pfam-B_8339
5950	Pfam-B_87598
6815	Myosin_tail_1
6815	Pfam-B_1
6815	Pfam-B_12511
6815	Pfam-B_127
6815	Pfam-B_4729
6815	Pfam-B_86762
6815	Pfam-B_87770
6815	Pfam-B_87837
6815	Uso1_p115_C
6815	Uso1_p115_head
2826	DRIM
2826	Pfam-B_10925
2826	Pfam-B_11035
2826	Pfam-B_6660
2826	Pfam-B_6665
2826	Pfam-B_95659
4907	PH
1176	Pfam-B_12433
1176	Pfam-B_16067
1176	Pfam-B_21939
1176	Pfam-B_77345
1176	Pfam-B_9624
1106	Peptidase_M16
1106	Peptidase_M16_C
1105	Peptidase_M16
1105	Peptidase_M16_C
1105	Pfam-B_32190
242	COX7a
267	eIF_4EBP
487	Pkinase
141	Pkinase
261	FAT
261	FATC
261	Pfam-B_1412
261	Pfam-B_3726
261	Pfam-B_37810
261	Pfam-B_38675
261	Pfam-B_5950
261	PI3_PI4_kinase
226	Homeobox
226	Pfam-B_11188
226	Pfam-B_16510
226	Pfam-B_17333
226	Pfam-B_17460
226	Pfam-B_17461
226	Pfam-B_75534
226	Pfam-B_85629
226	Pfam-B_9983
226	Pou
51	Homeobox
51	Pfam-B_10192
51	Pfam-B_14103
51	Pfam-B_15414
51	Pfam-B_9919
51	Pou
41	Pyr_redox
41	Pyr_redox_dim
5426	FAD_binding_2
4132	ECH
1102	2-oxoacid_dh
1102	Biotin_lipoyl
1364	ubiquitin
6667	S-AdoMet_synt_C
6667	S-AdoMet_synt_M
6667	S-AdoMet_synt_N
365	E1_dh
365	Pfam-B_26384
365	Pfam-B_47402
365	Pfam-B_570
365	Pfam-B_856
365	Pfam-B_99185
365	Transket_pyr
2399	LRR
2399	Pfam-B_10521
2399	Pfam-B_6697
671	ACT
671	Pfam-B_34162
671	Pfam-B_34166
671	Pfam-B_491
2039	Proteasome
1104	Pfam-B_21
1104	Pfam-B_34431
1104	TPP_enzyme_M
1104	TPP_enzyme_N
823	Glyco_transf_20
823	Pfam-B_53039
823	Trehalose_PPase
891	Glyco_transf_20
891	Pfam-B_49067
891	Trehalose_PPase
753	Glyco_transf_20
753	Pfam-B_49067
753	Trehalose_PPase
1708	Sec61_beta
744	Glyco_transf_20
4285	Ctr
1284	Ureidogly_hydro
6699	Gln-synt_C
6699	Gln-synt_N
2589	DEP
2589	Pfam-B_11048
2589	Pfam-B_24237
2589	Pfam-B_52444
2589	Pfam-B_78894
2291	MCM
2291	Pfam-B_105214
2291	Pfam-B_105348
2291	Pfam-B_105733
2291	Pfam-B_106900
2291	Pfam-B_107213
2291	Pfam-B_4659
2291	Pfam-B_9481
6677	Pfam-B_103109
2513	Pfam-B_65177
4571	DEAD
4571	Helicase_C
4781	adh_short
6842	DEAD
6842	Helicase_C
6842	Pfam-B_11374
6842	Pfam-B_12634
6842	Pfam-B_2749
6842	Pfam-B_3946
6842	Pfam-B_4619
6842	Pfam-B_4643
6842	Pfam-B_5013
6842	Pfam-B_5114
6842	Pfam-B_5207
6842	Pfam-B_5514
6842	Pfam-B_5516
6842	Pfam-B_5889
6842	Pfam-B_7489
6842	Pfam-B_9794
6643	GST_C
6643	Pfam-B_14216
6643	Pfam-B_1912
6643	Pfam-B_1922
6643	Pfam-B_1971
6643	Pfam-B_39003
6643	Pfam-B_59868
87	FKBP_C
5935	Activin_recp
5935	Pfam-B_476
5935	Pkinase
790	FAT
790	FATC
790	Pfam-B_1412
790	Pfam-B_3726
790	Pfam-B_37810
790	Pfam-B_38675
790	Pfam-B_5950
790	PI3_PI4_kinase
970	PC_rep
970	Pfam-B_10552
970	Pfam-B_13180
970	Pfam-B_51105
970	Pfam-B_60736
970	Pfam-B_9316
589	APC8
589	Pfam-B_71322
589	TPR
796	Pfam-B_5667
796	Pfam-B_7386
796	TPR
1127	Pfam-B_43884
939	Pfam-B_16695
939	Pfam-B_8700
25	Pfam-B_13918
25	Pfam-B_76671
25	Pfam-B_96628
25	TPR
1128	APC10
1130	Pfam-B_20293
1130	Pfam-B_24127
1130	zf-C3HC4
5915	Pfam-B_10293
5915	Pfam-B_4265
5915	Pfam-B_957
5915	WD40
1443	Pentapeptide_2
1443	Pfam-B_75108
183	Myb_DNA-binding
183	Pfam-B_5328
183	SWIRM
183	ZZ
2400	Fungal_trans
2400	Pfam-B_41440
2400	Zn_clus
4230	eIF-5a
4230	KOW
4818	Apc13p
658	Cyclin_C
658	Cyclin_N
542	Anth_synt_I_N
542	Chorismate_bind
543	GATase
543	IGPS
1023	CPSase_L_chain
1023	CPSase_L_D2
1023	CPSase_L_D3
1023	MGS
1023	Pfam-B_50447
1023	Pfam-B_50454
1023	Pfam-B_61
1023	Pfam-B_76909
1024	CPSase_sm_chain
1024	GATase
811	WD40
923	Pfam-B_91918
338	Pfam-B_2454
338	WD40
2440	NIF
4154	Mito_carr
5632	Pfam-B_67473
5632	PHD
5632	SET
2357	Arm
2357	IBN_N
2357	Pfam-B_12555
2357	Pfam-B_1624
2357	Pfam-B_6874
2357	Pfam-B_8494
728	Arm
728	IBB
728	Pfam-B_808
4601	MOZ_SAS
2945	YEATS
80	Pfam-B_69090
80	Pfam-B_98298
80	TBP
778	DUF1546
778	Pfam-B_14560
778	Pfam-B_17657
778	Pfam-B_4125
778	Pfam-B_52100
778	TAF
239	TFIID-31kDa
496	Pfam-B_31604
496	TFIID_20kDa
420	Histone
495	Pfam-B_86824
495	TAFII28
297	TFIID_30kDa
1077	Pfam-B_15297
1077	Pfam-B_21675
1077	Pfam-B_95422
1077	TFIIB
228	Bromodomain
228	Pfam-B_13465
228	Pfam-B_17034
228	Pfam-B_27643
228	Pfam-B_30105
228	Pfam-B_7201
228	Pfam-B_83029
228	Pfam-B_83032
228	Pfam-B_83044
228	zf-CCHC
44	TBP
343	Pfam-B_25130
343	Pfam-B_6237
191	Pfam-B_18050
191	Pfam-B_6770
191	Pfam-B_7798
191	TFIIB
740	Pfam-B_35577
740	TFIID_90kDa
740	WD40
591	bZIP
701	Pfam-B_15297
701	Pfam-B_21675
701	Pfam-B_41584
701	Pfam-B_7693
701	TFIIB
590	NOT2_3_5
2257	NOT2_3_5
2257	Not3
2619	Pfam-B_16965
2619	Pfam-B_33062
2619	Pfam-B_6017
2619	Pfam-B_9242
2619	PFK
5261	PCI
5261	Pfam-B_2788
5261	Pfam-B_8622
1590	AAA
1590	Pfam-B_2482
1590	Pfam-B_62
981	DUF1546
981	Pfam-B_4125
981	Pfam-B_52100
981	TAF
1533	Pfam-B_11276
1533	Pfam-B_14197
1533	Pfam-B_14222
1533	Pfam-B_14393
1533	Pfam-B_1624
1533	Pfam-B_2523
1533	Pfam-B_3650
1533	Pfam-B_4018
1533	Pfam-B_87204
5783	Pfam-B_11242
5783	Tfb2
839	Pfam-B_17034
839	Pfam-B_30105
839	Pfam-B_7201
839	Pfam-B_83029
839	Pfam-B_83032
839	zf-CCHC
925	TFIID-31kDa
4199	Pfam-B_32598
4199	Pfam-B_49995
4199	Pfam-B_76457
4199	Pfam-B_94560
789	TAF4
808	IQ
808	Myosin_head
808	Myosin_N
808	Pfam-B_1
808	Pfam-B_102910
808	Pfam-B_127
808	Pfam-B_13
808	Pfam-B_65123
808	Pfam-B_70474
698	Fibrillarin
5207	AAA
5207	Pfam-B_2138
5207	Pfam-B_2679
5207	Pfam-B_5141
5207	TIP49
1686	TAFII28
5328	Bromo_TP
1918	Myb_DNA-binding
1918	Pfam-B_50832
1918	Pfam-B_50837
6579	Pfam-B_15306
6579	Pfam-B_32345
6579	Pfam-B_44260
6579	PUF
1202	Not1
1202	Pfam-B_11933
1202	Pfam-B_14869
1202	Pfam-B_14870
1202	Pfam-B_56855
855	TFIID_30kDa
6818	TAFII55_N
2256	NOT2_3_5
2256	Not3
504	Pfam-B_18710
24227	E2F_TDP
24227	Pfam-B_1340
24227	Pfam-B_14632
24227	Pfam-B_82185
147	Bromodomain
147	Pfam-B_13465
147	Pfam-B_17034
147	Pfam-B_27643
147	Pfam-B_30105
147	Pfam-B_7201
147	Pfam-B_83027
147	Pfam-B_83029
147	Pfam-B_83032
147	Pfam-B_83044
147	Pfam-B_86013
582	Pfam-B_13111
582	Pfam-B_13119
582	Pfam-B_19364
582	RB_A
582	RB_B
237	TAF4
237	TAFH
1147	Pfam-B_68066
1147	YEATS
6386	EF1G
6386	GST_C
6386	GST_N
6386	Pfam-B_21928
6386	Pfam-B_2281
255	Peptidase_M1
255	Pfam-B_25130
255	Pfam-B_6237
779	TFIID_20kDa
177	Pfam-B_5911
177	Pfam-B_7272
177	TIG
437	Peptidase_M27
437	Pfam-B_2236
437	Pfam-B_2307
437	Pfam-B_2428
437	Pfam-B_687
437	Pfam-B_97375
1006	Peptidase_M27
1006	Pfam-B_1860
1006	Pfam-B_2307
1006	Pfam-B_2428
1006	Pfam-B_3777
1006	Pfam-B_687
1020	efhand
1020	SH3_1
1020	Spectrin
1021	CH
1021	Pfam-B_3903
1021	Pfam-B_59950
1021	Pfam-B_98420
1021	Spectrin
125	Androgen_recep
125	Hormone_recep
125	Pfam-B_177
125	Pfam-B_2717
125	Pfam-B_5869
125	zf-C4
677	TFIIF_alpha
429	TAFII55_N
654	HLH
654	Pfam-B_5531
654	Pfam-B_6978
654	Pfam-B_9024
654	Pfam-B_95519
394	Pfam-B_53849
463	ARID
463	Pfam-B_12375
463	Pfam-B_18101
463	Pfam-B_22425
463	Pfam-B_22806
472	ARID
472	JmjC
472	JmjN
472	Pfam-B_10267
472	Pfam-B_10604
472	Pfam-B_18798
472	Pfam-B_21597
472	Pfam-B_26105
472	Pfam-B_26425
472	Pfam-B_68651
472	Pfam-B_7007
472	Pfam-B_8830
472	PHD
472	zf-C5HC2
428	Pfam-B_4872
428	Pfam-B_60633
428	Pfam-B_60663
428	Pfam-B_67693
428	Pfam-B_69096
428	Pfam-B_69097
428	Pfam-B_76923
428	Pfam-B_76928
428	Pfam-B_84801
428	Pfam-B_98692
428	SET
428	zf-C2H2
436	Pfam-B_2454
436	Pfam-B_4641
436	WD40
687	Pfam-B_102031
687	Pkinase
221	Metallophos
221	Pfam-B_382
221	Pfam-B_9112
24224	Pfam-B_102352
24224	Pfam-B_102356
24224	Pfam-B_1222
24224	Pfam-B_13221
24224	Pfam-B_3491
24224	Pfam-B_3968
24224	Pfam-B_6813
24224	Pfam-B_6902
24224	Pfam-B_7151
24224	Pfam-B_7801
24224	Pfam-B_9177
24224	SWIB
24224	zf-RanBP
